Date,Close,High,Low,Open,Volume
2016-03-31,0.8722269535064697,0.8812845864099548,0.8653725475357806,0.8793262013798074,379884000
2016-04-01,0.8849563598632812,0.8854459851532265,0.8602314208415808,0.8668410412474857,348292000
2016-04-04,0.8763883709907532,0.896951701069975,0.8729611687659364,0.8923004646990605,393940000
2016-04-05,0.8751642107963562,0.8832426476898099,0.8651273313548588,0.8685545912226483,339568000
2016-04-06,0.8763883709907532,0.8768779963222244,0.8477466606809605,0.8641483213555785,453376000
2016-04-07,0.86733078956604,0.8785916475457035,0.8636588036486337,0.8707579919863296,378104000
2016-04-08,0.872961163520813,0.8800604097761071,0.864393099645091,0.8744299811412407,255936000
2016-04-11,0.8783468008041382,0.8927900766670015,0.8754091655896035,0.8781019589594873,387524000
2016-04-12,0.8773677349090576,0.8825085389098856,0.8602316048426285,0.8812845046057829,292764000
2016-04-13,0.8993998169898987,0.8996446005019013,0.8812844947028488,0.8812844947028488,350716000
2016-04-14,0.9018477201461792,0.9057645476990889,0.8932796562263668,0.8969517002963323,416564000
2016-04-15,0.9089469313621521,0.9170253696391724,0.8986652667281743,0.9016029018707845,436972000
2016-04-18,0.9050301909446716,0.9072334175133859,0.8962173430349782,0.9072334175133859,307320000
2016-04-19,0.8888729810714722,0.9101706548576619,0.8832425541852776,0.9084570542877517,309152000
2016-04-20,0.8923003077507019,0.897685951988952,0.886425096632252,0.887404288757802,200172000
2016-04-21,0.8913213610649109,0.8967070067861856,0.8874045331189989,0.8925453369676023,178280000
2016-04-22,0.8878942131996155,0.9003790483290189,0.8849565774679112,0.8942590517081949,223540000
2016-04-25,0.8923003077507019,0.897196326743602,0.885690687946802,0.8881386974432519,191972000
2016-04-26,0.893034815788269,0.9079677162335377,0.8891179884851632,0.8976860518585295,214536000
2016-04-27,0.9133532047271729,0.9138428299744711,0.8891178931063475,0.8908314939241654,352396000
2016-04-28,0.8861803412437439,0.9131085066957705,0.8839771733377,0.907722861932334,381224000
2016-04-29,0.8697787523269653,0.8844668119280608,0.8602314960767051,0.8825084273273123,321904000
2016-05-02,0.8812844753265381,0.8866701210283581,0.8739404448414196,0.8781020562798034,256076000
2016-05-03,0.8707578182220459,0.8749194286683784,0.8631690060393399,0.871247443483736,224024000
2016-05-04,0.8509290814399719,0.860965904655062,0.8421162340087209,0.8602314958386943,525764000
2016-05-05,0.8560699224472046,0.8661068044689695,0.8497050846688081,0.8580283654987222,246884000
2016-05-06,0.8648827075958252,0.8670859339821982,0.8528874417568955,0.8546010428245769,183240000
2016-05-09,0.8636587858200073,0.8707579740111538,0.8565595392636983,0.8670859881695487,333336000
2016-05-10,0.8803050518035889,0.8817738691879957,0.8607209756518992,0.8690441963433372,269676000
