Date,Close,High,Low,Open,Volume
2016-03-31,22.920940399169922,23.01003780324337,22.82603409378933,22.901571976521055,8025600
2016-04-01,22.99260902404785,23.04684120759797,22.750500006258978,22.872522419246746,8320800
2016-04-04,22.99454689025879,23.083642833727648,22.843471095780455,23.054589455316535,5239600
2016-04-05,22.53550910949707,23.02941214134726,22.496772254249187,22.91320009788731,8802800
2016-04-06,22.605241775512695,22.611052157350546,22.38637568589264,22.52970385618734,6557200
2016-04-07,22.504520416259766,22.721449174769504,22.465782082442786,22.53938417783688,5359600
2016-04-08,22.624605178833008,22.74662908117253,22.46578170712755,22.46578170712755,4268800
2016-04-11,22.512264251708984,22.78342515369786,22.473525924484797,22.673023507112077,4226000
2016-04-12,22.671085357666016,22.7117594887637,22.4812712681609,22.56068372248204,5726400
2016-04-13,22.560684204101562,22.775675622288627,22.421229192951927,22.736938775954158,4754400
2016-04-14,22.49677085876465,22.647846653662924,22.274030260615255,22.500643952962665,6168000
2016-04-15,22.744688034057617,22.777614503520052,22.496768653631637,22.56455887832373,6431600
2016-04-18,22.810548782348633,22.810548782348633,22.558756221901163,22.744695820878498,5816000
2016-04-19,22.874462127685547,22.932568889195185,22.704017893088988,22.87058903318586,7352000
2016-04-20,22.372814178466797,22.917074866352667,22.35925613036803,22.866715768678787,5898800
2016-04-21,21.869224548339844,22.322451930288782,21.77819131921774,22.31857883611423,9754800
2016-04-22,22.165559768676758,22.18299090432793,21.933134282650478,21.97380841021902,6966800
2016-04-25,22.171377182006836,22.171377182006836,22.05129056890506,22.140386516283947,4530800
2016-04-26,22.374746322631836,22.39798932030165,22.11907925912854,22.219797437981573,7878000
2016-04-27,22.640092849731445,22.858958816631176,22.351499384441112,22.405731554808067,10262400
2016-04-28,22.558752059936523,22.80279838507008,22.29921040165118,22.428981969652003,8615200
2016-04-29,22.773744583129883,22.806671057180488,22.303084560802986,22.508392549255316,9361200
2016-05-02,22.866716384887695,23.002298347245414,22.715640565511293,22.822169144669758,7651600
2016-05-03,22.936439514160156,23.03909350108708,22.746626872069356,22.920944182397104,5263200
2016-05-04,23.137868881225586,23.327682955808463,22.80472671627349,22.85895888680693,6705600
2016-05-05,23.019723892211914,23.32768731488201,22.84734239892645,23.130125539346608,8386400
2016-05-06,22.950000762939453,23.068150098118423,22.758250808188492,23.060402431155627,5848800
2016-05-09,23.027469635009766,23.06620648147612,22.880266958548876,22.979047838068837,4924800
2016-05-10,23.16499137878418,23.24052927689621,23.03134820089471,23.10301152705851,4637200
2016-05-11,23.182416915893555,23.310249674529526,22.951928720013402,23.1979107658051,5758800
2016-05-12,23.4652099609375,23.511694485845457,23.10107699562871,23.217290524473203,7977200
2016-05-13,23.389678955078125,23.50008065788193,23.184369410533787,23.41873234586162,5877200
2016-05-16,23.529125213623047,23.534935594054616,23.205666418341643,23.308320413209447,5292800
2016-05-17,23.19985580444336,23.492323930858163,23.037159243131562,23.45552288487352,8535200
2016-05-18,22.858963012695312,23.39935048555983,22.740815178545887,23.08557816292088,9197200
2016-05-19,22.93450164794922,22.94224783541947,22.564558393313092,22.686580795136067,8242800
2016-05-20,23.112695693969727,23.12237916807886,22.829912537721512,22.97130337698753,8964400
2016-05-23,22.8531551361084,23.145623257982365,22.829913614976856,23.135938305700055,4948400
2016-05-24,23.221160888671875,23.256024647682434,22.87058749030519,22.903513963338433,7466000
2016-05-25,23.068153381347656,23.236661836909967,23.02166885067124,23.16499701559153,5688000
2016-05-26,23.37837791442871,23.393987270504542,23.062295152548657,23.064246694205668,4618800
2016-05-27,23.382278442382812,23.431056561451793,23.259358118221407,23.39398620320061,4366800
2016-05-31,23.436918258666992,23.58325266003297,23.306191728784604,23.38228549840767,13375600
2016-06-01,23.442760467529297,23.575436989124256,23.337399569034197,23.43690733237787,6606800
2016-06-02,23.376422882080078,23.452516620849387,23.159847936785926,23.380325964811274,5515600
2016-06-03,23.764698028564453,23.875912070308896,23.53836686229721,23.579340299930433,7846400
2016-06-06,23.754941940307617,23.940298181366856,23.641776356554217,23.819329409193852,5638800
2016-06-07,23.63007354736328,23.89737819189035,23.622268869210284,23.809576679111753,6731600
2016-06-08,23.98322296142578,23.99688077393155,23.575438639046432,23.60275426405797,7323600
2016-06-09,24.190046310424805,24.22126353365486,23.973471335090263,23.99298228568281,5551600
2016-06-10,24.16077995300293,24.359794037485877,24.022250263968594,24.178339362549885,5889600
2016-06-13,24.11395835876465,24.26029276531021,24.06908330770139,24.168591120957732,4673200
2016-06-14,24.385162353515625,24.392965544019738,23.97542488830406,24.139320172106753,6342400
2016-06-15,24.1627254486084,24.32857222441782,24.05931608676292,24.31686446500464,7671200
2016-06-16,24.359790802001953,24.402715782202286,24.162726796804957,24.227114267105456,6134800
2016-06-17,24.408565521240234,24.43393109069599,24.141262435792413,24.39490771022166,11624400
