Date,Close,High,Low,Open,Volume
2016-03-31,25.54320526123047,25.673237361279163,25.193743411060268,25.201870611076426,10209000
2016-04-01,24.76301383972168,25.35628710544067,24.641108926255203,25.340032703617123,17421700
2016-04-04,24.299774169921875,24.771140970739307,24.177869256799365,24.70612491373363,12167300
2016-04-05,24.05596160888672,24.161612108220716,23.85278626007873,24.11285045853617,9101900
2016-04-06,24.3322811126709,24.340408312938216,23.81215114629724,24.104724155500865,9620300
2016-04-07,23.909677505493164,24.340409846163517,23.714629337106132,24.25913938847599,12865600
2016-04-08,23.86903953552246,24.18599256869749,23.755260291478873,24.11284932256405,8843500
2016-04-11,23.999073028564453,24.41355093079677,23.958437028283885,23.966564228339998,8882900
2016-04-12,24.145355224609375,24.194118419382853,23.787767763565626,24.023450337885155,11214500
2016-04-13,25.014949798583984,25.088093049026725,24.332280494521697,24.38916934484274,11076800
2016-04-14,24.966188430786133,25.234379852060314,24.90117237563194,25.06371328856994,8218800
2016-04-15,24.83615493774414,25.07183909337221,24.714250034880116,24.933679790098328,8261200
2016-04-18,25.445676803588867,25.49443999677242,24.876786834056254,24.998691716805766,15745300
2016-04-19,25.98206901550293,26.136482750094576,25.689497500088272,25.72200475730979,14408300
2016-04-20,26.160856246948242,26.339651542210916,26.006444101173027,26.006444101173027,12911500
2016-04-21,26.542829513549805,27.15235560749251,26.388417352493267,26.96543464404195,22792300
2016-04-22,26.15273094177246,26.64847928501519,26.103967742364894,26.54282723640368,13824500
2016-04-25,25.965808868408203,26.095840960980055,25.68136308461797,26.07958656188237,10604800
2016-04-26,26.160856246948242,26.25025389457958,25.94955525271849,26.006444101173027,8701200
2016-04-27,26.136472702026367,26.242124735115585,25.998313424212917,26.15272709944081,6711400
2016-04-28,26.364030838012695,26.59971497499413,25.787013620059227,25.982061759231026,13443200
2016-04-29,25.843904495239258,26.290889655493025,25.616349090064947,26.290889655493025,12533000
2016-05-02,25.80327033996582,26.1039690002783,25.787015939380023,26.047080148332963,9794000
2016-05-03,25.39691925048828,25.681365056114736,24.925552491203415,25.65698345559649,15046300
2016-05-04,24.860538482666016,25.266889224062837,24.722379168586894,25.193745966603004,13712700
2016-05-05,24.819904327392578,25.039332552308863,24.624854605081307,25.02307970053716,10383800
2016-05-06,25.16124153137207,25.283148015038808,24.83616119183987,24.974320529904222,11427900
2016-05-09,25.014949798583984,25.25063239992899,24.819901647438318,25.19374354960795,8127200
2016-05-10,25.478185653686523,25.494440051449235,25.063707811365525,25.112469454548968,9185400
2016-05-11,25.258756637573242,25.567582453141043,25.193740594816614,25.453804765843124,8538100
2016-05-12,25.34003257751465,25.494446293859802,24.990570690572756,25.356286979257312,9411500
2016-05-13,24.803647994995117,25.429428467599823,24.681743090617502,25.088093805279527,10563400
2016-05-16,24.925552368164062,25.177489371855895,24.7873930661192,24.7873930661192,17749500
2016-05-17,24.893047332763672,25.014953803086833,24.6086030356234,24.70612635175573,9542900
2016-05-18,24.990568161010742,25.22625231210803,24.738631159920985,24.836154460295447,8454200
2016-05-19,24.64110565185547,24.933678645380912,24.519200754588155,24.795519348449993,10142200
2016-05-20,24.844284057617188,25.023079375730862,24.706124743668013,24.795522402724853,7736100
2016-05-23,24.860538482666016,24.893045735923128,24.665490312808146,24.787395225206183,6698900
2016-05-24,25.234376907348633,25.258758506475644,24.884916620490554,24.909296669512717,8743100
2016-05-25,25.721996307373047,25.8195211472102,25.291265602529535,25.348154446557565,10151600
2016-05-26,25.429426193237305,25.803268073240233,25.34002854797364,25.72199762755552,6747700
2016-05-27,25.510698318481445,25.713873683362895,25.405047810789295,25.44568226372358,6089800
2016-05-31,25.421300888061523,25.697619493918005,25.299394435397538,25.63260344254618,11803400
2016-06-01,24.55984115600586,25.315653872390026,24.275396843478696,25.315653872390026,26002300
2016-06-02,24.59234619140625,24.75488555219185,24.421678079960614,24.486694134295856,12649300
2016-06-03,24.05596160888672,24.502946756222332,23.98281835930745,24.454185106537786,18549600
2016-06-06,24.372920989990234,24.413557000373526,24.153491184236362,24.25914326112762,10985800
2016-06-07,24.567960739135742,24.689865628144698,24.340405359680297,24.511071894271883,14425700
2016-06-08,24.337514877319336,24.716117552245702,24.296363129318856,24.691425561542278,12990900
2016-06-09,24.1646728515625,24.27989898848159,24.00006273895948,24.26343766325361,11907500
2016-06-10,23.917757034301758,24.14821087173123,23.8519133050131,24.049444492879076,10740400
2016-06-13,23.93421745300293,24.19759236018695,23.70376362429777,23.744916934694196,13871300
2016-06-14,23.72845458984375,24.123516933625968,23.580305818465867,23.925985761734857,10751700
2016-06-15,23.753145217895508,24.049441173884347,23.695532158948737,23.85191001327908,8479900
2016-06-16,23.884830474853516,23.92598220752841,23.456845547747534,23.596763636615336,9654400
2016-06-17,24.05767250061035,24.22228259058716,23.917754395081513,23.983598117104606,12707400
2016-06-20,24.403358459472656,24.71611739368873,24.353976048221163,24.378668038766186,12329100
2016-06-21,24.28812599182129,24.502118478029537,24.22228227066784,24.395121450006343,10318000
2016-06-22,24.131750106811523,24.353973287005754,24.09059836374076,24.14821143197518,8717200
2016-06-23,24.54327392578125,24.567965913636304,24.321050744600928,24.35397339507433,9598100
2016-06-24,23.333391189575195,23.90129426419757,23.251086145887612,23.522691691169943,30181100
2016-06-27,22.64204216003418,23.12764042314494,22.502123989818557,23.119409757857092,18634200
2016-06-28,22.831335067749023,23.028866258657214,22.551498821502832,22.987714515907392,14061400
2016-06-29,23.185245513916016,23.20993750126349,22.716108743182456,23.04532739195703,10644100
2016-06-30,23.292240142822266,24.411585077970177,22.798412972457754,23.193475336684678,15360600
2016-07-01,23.777835845947266,23.851910228071063,23.34162178437172,23.6132273288796,15157900
2016-07-05,23.185245513916016,23.604999879792977,23.07825004175366,23.572077229996346,12178200
2016-07-06,23.374542236328125,23.382772897437672,22.650261326906875,23.045323641136648,14631400
2016-07-07,23.65437889099121,23.91775377222487,23.391004009757552,23.448617068797653,10842300
2016-07-08,24.41158676147461,24.5844275388925,24.09059876463362,24.09059876463362,16659400
2016-07-11,24.79842185974121,24.913649583622632,24.477433819285604,24.518587138471332,13870300
